,Seed,,,Plant,,,,,,Flowering,,Others,
Name,Germination period,Temperature (ºC),Special conditions,Soil conditions,Watering period,Temperature (ºC),Lighting,Fertiliser type,Fertiliser frequency,Age,Conditions,Toxicity,
Aloe Vera,2-4 weeks,13-27,"dry seeds from pods that have split open, or allow un-opened pods to dry in a shady spot before gently removing the seeds",1:1 succlent to inorganic (e.g. perlite),2–3 weeks (in summer and spring and even more saparsely in spring and winter,13 to 27,Bright and indirect,,,,,,
basil,5 to 10 days,21-26,"wait for the plant's flower pods to dry and turn brown. Then, gently crush the pods to release the black seeds,",well-draining soil with a slightly acidic to neutral pH of 6.0 to 7.5,once a week or 2-3 days a week in hot weather,21 to 26,,,,,,,
Cactus,5-14 days,20-30,"clean them by separating them from pulp and debris, and then dry them for several days in a shaded area","well-draining, gritty soil","3-4 weeks in summer, but 4-6 weeks in winter and autumn but it lessens with bigger cacti ", Most room temperatures are okay,Most require bright direct sunlight, Cactus specific fertiliser, ,,,"Some cactus are edible and produces fruits, however some of the spikes may have toxicity ", 
Jade plant,2-5 weeks,18 to 24,Very challengeing to germinate and use seeds less than 6 months old,catcus/succulent potting mix,"2 weeks in summer/spring, 1 month in winter and autumn",18 to 24,bright and indirect ,slow released balanced fertiliser,every 4-6 weeks only during summer and spring, 3-4 years old,Rarely bloom as a indoor plant,"Some are toxic to cats, dogs and babies", 
Rubber plant,3-5 weeks,18 to 25,Soak in warm water for 24 hours beforehand,A well draining mix,1 - 2 weeks,15 to 24,bright indirect,A household indoor plant balanced fertiliser,every 2 - 4 only in summer and spring, Several years old,Rarely flower indoors,"Most are toxic to cats, dogs and humans", 
Water spinch,1-2 weeks,25 - 30,Recommanded to soak the seeds for up to 24 hours but 8-10 should be sufficient,Coco coir mixed with compost, once every 2 days,20 to 30,Direct sunlight ,High nitrogen fertiisers,Every 2 weeks after germination,>40 days,Stop harvesting for a while,Edible and can be used in cooking. May be fed to cats and dogs but its up to the user's discretion, 
Spider plant,2-3 weeks,23 to 27,None,Africa violet or soiless potting mixture,"1 week on spring/summer, 2 weeks in winter/autumn",15 to 27,bright and indirect ,Balanced fertiliser,every 2-4 weeks only in summer and spring, When its roots have grown well,Slightly root-bound," No, unless overconsumed", 
Snake plant,4-6 weeks,24 to 27,None,1:1 cactus mix and perlite,"1 week in summer and spring, 2 weeks in winter and autumn",21 to 32 ,indirect,10-10-10 Houseplant fertiliser,Every 2 months,2 years in the same pot,Avoid repoting and keep temperatures fluctuating ,Toxic to cats and dogs, 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,, ,,,
